seed_1,seed_2,diff
1,2,3.6753334999084473
1,3,3.1919610500335693
1,4,17.45748519897461
1,5,6.336093902587891
1,6,6.983611583709717
1,7,2.697625160217285
1,8,6.728666305541992
1,9,4.712459564208984
1,10,12.600154876708984
1,11,10.099698066711426
1,12,19.187658309936523
1,13,6.357276916503906
1,14,20.086181640625
1,15,3.3473150730133057
1,16,6.9467363357543945
2,3,8.2128267288208
2,4,18.407211303710938
2,5,10.314595222473145
2,6,10.399348258972168
2,7,0.6055402755737305
2,8,7.678393363952637
2,9,8.83869457244873
2,10,11.93873405456543
2,11,10.604827880859375
2,12,20.137386322021484
2,13,8.295705795288086
2,14,21.340734481811523
2,15,5.048378944396973
2,16,7.896463394165039
3,4,14.265523910522461
3,5,3.003589391708374
3,6,1.3930368423461914
3,7,7.9110589027404785
3,8,3.5367050170898438
3,9,6.229130268096924
3,10,16.080421447753906
3,11,14.746515274047852
3,12,15.995697975158691
3,13,4.221067428588867
3,14,16.89422035217285
3,15,2.102078914642334
3,16,3.6995060443878174
4,5,14.606093406677246
4,6,20.303791046142578
4,7,22.066116333007812
4,8,12.828451156616211
4,9,20.507434844970703
4,10,30.345945358276367
4,11,29.012039184570312
4,12,8.5344877243042
4,13,11.81406307220459
4,14,3.452752113342285
4,15,14.74824333190918
4,16,15.864151954650879
5,6,7.353086471557617
5,7,9.115411758422852
5,8,2.2172818183898926
5,9,7.556732177734375
5,10,17.395240783691406
5,11,16.06133460998535
5,12,14.680877685546875
5,13,0.4176274538040161
5,14,16.879112243652344
5,15,3.5618178844451904
5,16,6.992839336395264
6,7,3.7152605056762695
6,8,9.574971199035645
6,9,3.9516332149505615
6,10,10.042155265808105
6,11,10.129171371459961
6,12,22.033964157104492
6,13,9.203582763671875
6,14,22.93248748779297
6,15,3.658458709716797
6,16,11.15223217010498
7,8,11.337296485900879
7,9,1.9842336177825928
7,10,8.279829978942871
7,11,6.945923805236816
7,12,23.796289443969727
7,13,10.96590805053711
7,14,24.694812774658203
7,15,7.95594596862793
7,16,11.555367469787598
8,9,9.778616905212402
8,10,19.61712646484375
8,11,18.283220291137695
8,12,12.458992958068848
8,13,1.452610969543457
8,14,15.271944046020508
8,15,3.3813509941101074
8,16,5.03544282913208
9,10,8.787314414978027
9,11,8.641801834106445
9,12,22.23760986328125
9,13,9.407228469848633
9,14,23.136133193969727
9,15,1.5031003952026367
9,16,9.996687889099121
10,11,2.8878884315490723
10,12,32.07611846923828
10,13,19.245737075805664
10,14,32.97464370727539
10,15,16.235774993896484
10,16,19.83519744873047
11,12,30.74221420288086
11,13,17.91183090209961
11,14,31.640735626220703
11,15,14.901869773864746
11,16,18.501291275024414
12,13,12.830381393432617
12,14,8.9960298538208
12,15,15.840343475341797
12,16,12.240921974182129
13,14,13.728904724121094
13,15,3.3199915885925293
13,16,6.488053798675537
14,15,16.738866806030273
14,16,17.607934951782227
15,16,3.8142151832580566
